skill_name,category,subcategory,aliases
Python,Technical,Programming Language,"python,py"
Java,Technical,Programming Language,"java"
JavaScript,Technical,Programming Language,"javascript,js,ecmascript"
TypeScript,Technical,Programming Language,"typescript,ts"
C++,Technical,Programming Language,"c++,cpp"
C#,Technical,Programming Language,"c#,csharp"
R,Technical,Programming Language,"r programming"
Go,Technical,Programming Language,"golang,go"
Ruby,Technical,Programming Language,"ruby"
PHP,Technical,Programming Language,"php"
Swift,Technical,Programming Language,"swift"
Kotlin,Technical,Programming Language,"kotlin"
Scala,Technical,Programming Language,"scala"
Rust,Technical,Programming Language,"rust"
SQL,Technical,Database,"sql,structured query language"
PostgreSQL,Technical,Database,"postgresql,postgres"
MySQL,Technical,Database,"mysql"
MongoDB,Technical,Database,"mongodb,mongo"
Redis,Technical,Database,"redis"
Cassandra,Technical,Database,"cassandra"
Oracle,Technical,Database,"oracle database"
SQL Server,Technical,Database,"sql server,mssql"
DynamoDB,Technical,Database,"dynamodb"
Elasticsearch,Technical,Database,"elasticsearch,elastic"
Machine Learning,Technical,AI/ML,"machine learning,ml"
Deep Learning,Technical,AI/ML,"deep learning,dl"
Natural Language Processing,Technical,AI/ML,"nlp,natural language processing"
Computer Vision,Technical,AI/ML,"computer vision,cv"
Reinforcement Learning,Technical,AI/ML,"reinforcement learning,rl"
TensorFlow,Technical,AI/ML,"tensorflow"
PyTorch,Technical,AI/ML,"pytorch,torch"
Keras,Technical,AI/ML,"keras"
scikit-learn,Technical,AI/ML,"scikit-learn,sklearn"
XGBoost,Technical,AI/ML,"xgboost"
LightGBM,Technical,AI/ML,"lightgbm"
Pandas,Technical,Data Science,"pandas"
NumPy,Technical,Data Science,"numpy"
Matplotlib,Technical,Data Science,"matplotlib"
Seaborn,Technical,Data Science,"seaborn"
Data Analysis,Technical,Data Science,"data analysis"
Data Visualization,Technical,Data Science,"data visualization,data viz"
Statistical Analysis,Technical,Data Science,"statistical analysis,statistics"
A/B Testing,Technical,Data Science,"a/b testing,ab testing"
React,Technical,Web Development,"react,reactjs,react.js"
Angular,Technical,Web Development,"angular,angularjs"
Vue.js,Technical,Web Development,"vue,vuejs,vue.js"
Node.js,Technical,Web Development,"node,nodejs,node.js"
Express.js,Technical,Web Development,"express,expressjs"
Django,Technical,Web Development,"django"
Flask,Technical,Web Development,"flask"
Spring Boot,Technical,Web Development,"spring boot,springboot"
FastAPI,Technical,Web Development,"fastapi"
HTML,Technical,Web Development,"html,html5"
CSS,Technical,Web Development,"css,css3"
RESTful API,Technical,Web Development,"rest,restful,rest api"
GraphQL,Technical,Web Development,"graphql"
WebSockets,Technical,Web Development,"websockets,websocket"
Microservices,Technical,Architecture,"microservices,microservice architecture"
AWS,Technical,Cloud,"aws,amazon web services"
Azure,Technical,Cloud,"azure,microsoft azure"
Google Cloud,Technical,Cloud,"gcp,google cloud platform,google cloud"
Docker,Technical,DevOps,"docker"
Kubernetes,Technical,DevOps,"kubernetes,k8s"
Jenkins,Technical,DevOps,"jenkins"
CI/CD,Technical,DevOps,"ci/cd,continuous integration,continuous deployment"
Terraform,Technical,DevOps,"terraform"
Ansible,Technical,DevOps,"ansible"
Linux,Technical,Operating Systems,"linux,unix"
Bash,Technical,Scripting,"bash,shell scripting"
Git,Technical,Version Control,"git"
GitHub,Technical,Version Control,"github"
GitLab,Technical,Version Control,"gitlab"
Apache Spark,Technical,Big Data,"spark,apache spark"
Hadoop,Technical,Big Data,"hadoop"
Kafka,Technical,Big Data,"kafka,apache kafka"
Airflow,Technical,Big Data,"airflow,apache airflow"
Snowflake,Technical,Data Warehouse,"snowflake"
Redshift,Technical,Data Warehouse,"redshift,amazon redshift"
BigQuery,Technical,Data Warehouse,"bigquery,google bigquery"
ETL,Technical,Data Engineering,"etl,extract transform load"
Data Pipeline,Technical,Data Engineering,"data pipeline,data pipelines"
Tableau,Technical,BI Tools,"tableau"
Power BI,Technical,BI Tools,"power bi,powerbi"
Looker,Technical,BI Tools,"looker"
Excel,Technical,BI Tools,"excel,microsoft excel"
Selenium,Technical,Testing,"selenium"
JUnit,Technical,Testing,"junit"
pytest,Technical,Testing,"pytest"
TestNG,Technical,Testing,"testng"
Postman,Technical,Testing,"postman"
Agile,Technical,Methodology,"agile,agile methodology"
Scrum,Technical,Methodology,"scrum"
Kanban,Technical,Methodology,"kanban"
JIRA,Technical,Tools,"jira,atlassian jira"
Confluence,Technical,Tools,"confluence"
Figma,Technical,Design,"figma"
Adobe XD,Technical,Design,"adobe xd,xd"
Sketch,Technical,Design,"sketch"
Photoshop,Technical,Design,"photoshop,adobe photoshop"
UI Design,Technical,Design,"ui design,user interface design"
UX Design,Technical,Design,"ux design,user experience design"
Prototyping,Technical,Design,"prototyping"
Wireframing,Technical,Design,"wireframing"
Solidity,Technical,Blockchain,"solidity"
Ethereum,Technical,Blockchain,"ethereum"
Web3,Technical,Blockchain,"web3,web3.js"
Smart Contracts,Technical,Blockchain,"smart contracts"
Unity,Technical,Game Development,"unity,unity3d"
Unreal Engine,Technical,Game Development,"unreal,unreal engine"
C++ Game Development,Technical,Game Development,"c++ game development"
3D Modeling,Technical,Game Development,"3d modeling"
Salesforce,Technical,CRM,"salesforce"
SAP,Technical,ERP,"sap"
Oracle ERP,Technical,ERP,"oracle erp"
Informatica,Technical,ETL Tools,"informatica"
SSIS,Technical,ETL Tools,"ssis,sql server integration services"
Talend,Technical,ETL Tools,"talend"
ROS,Technical,Robotics,"ros,robot operating system"
Arduino,Technical,IoT,"arduino"
Raspberry Pi,Technical,IoT,"raspberry pi"
MQTT,Technical,IoT,"mqtt"
IoT,Technical,IoT,"iot,internet of things"
Penetration Testing,Technical,Security,"penetration testing,pentesting"
Ethical Hacking,Technical,Security,"ethical hacking"
Network Security,Technical,Security,"network security"
Cryptography,Technical,Security,"cryptography"
Cybersecurity,Technical,Security,"cybersecurity,cyber security"
Blockchain Security,Technical,Security,"blockchain security"
Communication,Soft,Interpersonal,"communication,communication skills"
Teamwork,Soft,Interpersonal,"teamwork,team collaboration,collaboration"
Leadership,Soft,Management,"leadership,leadership skills"
Problem Solving,Soft,Cognitive,"problem solving,problem-solving"
Critical Thinking,Soft,Cognitive,"critical thinking"
Analytical Thinking,Soft,Cognitive,"analytical thinking,analytical skills"
Creativity,Soft,Cognitive,"creativity,creative thinking"
Attention to Detail,Soft,Work Style,"attention to detail,detail-oriented"
Time Management,Soft,Work Style,"time management"
Adaptability,Soft,Work Style,"adaptability,flexibility"
Self-Motivation,Soft,Work Style,"self-motivation,self-motivated"
Organizational Skills,Soft,Work Style,"organizational skills,organization"
Stakeholder Management,Soft,Management,"stakeholder management"
Project Management,Soft,Management,"project management"
Client Management,Soft,Management,"client management"
Conflict Resolution,Soft,Interpersonal,"conflict resolution"
Negotiation,Soft,Interpersonal,"negotiation,negotiation skills"
Presentation Skills,Soft,Communication,"presentation skills,presentations"
Technical Writing,Soft,Communication,"technical writing,documentation"
Public Speaking,Soft,Communication,"public speaking"
Active Listening,Soft,Communication,"active listening"
Empathy,Soft,Interpersonal,"empathy,empathetic"
Customer Service,Soft,Interpersonal,"customer service"
Mentoring,Soft,Management,"mentoring,coaching"
Strategic Thinking,Soft,Management,"strategic thinking,strategy"
Decision Making,Soft,Management,"decision making,decision-making"
Innovation,Soft,Cognitive,"innovation,innovative thinking"
Research,Soft,Cognitive,"research,research skills"
Data-Driven Thinking,Soft,Cognitive,"data-driven thinking,data-driven"
Resilience,Soft,Work Style,"resilience,stress management"
Work Ethic,Soft,Work Style,"work ethic,strong work ethic"
Curiosity,Soft,Cognitive,"curiosity,intellectual curiosity"
Servant Leadership,Soft,Management,"servant leadership"
Emotional Intelligence,Soft,Interpersonal,"emotional intelligence,eq"
Accountability,Soft,Work Style,"accountability,ownership"
Reliability,Soft,Work Style,"reliability,dependability"
Proactive,Soft,Work Style,"proactive,initiative"
Multitasking,Soft,Work Style,"multitasking,multi-tasking"
User Research,Technical,Design,"user research"
Accessibility,Technical,Design,"accessibility,a11y"
Responsive Design,Technical,Web Development,"responsive design"
Mobile Development,Technical,Mobile,"mobile development,mobile app development"
iOS Development,Technical,Mobile,"ios development"
Android Development,Technical,Mobile,"android development"
React Native,Technical,Mobile,"react native"
Flutter,Technical,Mobile,"flutter"
Network Engineering,Technical,Networking,"network engineering,networking"
Cisco,Technical,Networking,"cisco"
Routing and Switching,Technical,Networking,"routing and switching"
Firewall,Technical,Security,"firewall,firewalls"
VPN,Technical,Security,"vpn"
Load Balancing,Technical,Networking,"load balancing"
DNS,Technical,Networking,"dns"
TCP/IP,Technical,Networking,"tcp/ip,tcpip"
Cloud Architecture,Technical,Cloud,"cloud architecture"
Serverless,Technical,Cloud,"serverless"
Lambda,Technical,Cloud,"lambda,aws lambda"
S3,Technical,Cloud,"s3,aws s3"
EC2,Technical,Cloud,"ec2,aws ec2"
API Development,Technical,Web Development,"api development"
API Design,Technical,Web Development,"api design"
Performance Optimization,Technical,General,"performance optimization,optimization"
Code Review,Technical,General,"code review"
Debugging,Technical,General,"debugging"
Troubleshooting,Technical,General,"troubleshooting"
System Design,Technical,Architecture,"system design"
Design Patterns,Technical,Architecture,"design patterns"
Object-Oriented Programming,Technical,Programming,"oop,object-oriented programming"
Functional Programming,Technical,Programming,"functional programming"
Data Structures,Technical,Computer Science,"data structures"
Algorithms,Technical,Computer Science,"algorithms"
Competitive Programming,Technical,Computer Science,"competitive programming"
Mathematics,Technical,Computer Science,"mathematics,math"
Linear Algebra,Technical,Computer Science,"linear algebra"
Calculus,Technical,Computer Science,"calculus"
Probability,Technical,Computer Science,"probability"